aX,aY,aZ,gX,gY,gZ
0.077,-0.337,-1.004,4.7,3.967,-0.732
0.079,-0.339,-1.01,4.761,3.418,-0.916
0.299,-0.821,-1.567,-3.174,-337.402,164.49
0.35,-0.812,-1.556,-16.357,-382.141,197.388
0.425,-0.796,-1.507,-34.058,-422.607,233.154
0.524,-0.768,-1.407,-53.833,-460.327,270.081
0.608,-0.679,-1.281,-71.777,-493.774,303.04
0.679,-0.594,-1.126,-90.088,-525.269,326.05
0.693,-0.537,-0.914,-106.567,-554.321,341.858
0.646,-0.472,-0.671,-114.197,-581.116,354.797
0.558,-0.445,-0.411,-113.159,-608.398,369.751
0.472,-0.437,-0.12,-106.201,-635.437,390.93
0.34,-0.463,0.263,-94.604,-657.288,415.588
0.245,-0.546,0.623,-68.848,-664.917,440.186
0.244,-0.653,0.798,-26.306,-643.799,460.083
0.351,-0.773,0.837,2.747,-594.177,464.783
0.428,-0.845,0.857,3.174,-530.029,451.355
0.473,-0.864,0.851,-14.282,-461.792,426.025
0.474,-0.862,0.858,-46.753,-397.217,400.94
0.443,-0.825,0.914,-83.74,-342.407,382.324
0.39,-0.774,0.997,-118.53,-295.776,373.047
0.307,-0.72,1.088,-147.827,-257.996,371.033
0.189,-0.656,1.19,-170.41,-229.98,373.291
0.096,-0.616,1.276,-187.012,-205.2,379.15
-0.012,-0.538,1.353,-196.594,-178.223,386.292
-0.121,-0.414,1.396,-199.341,-148.254,389.465
-0.247,-0.287,1.383,-196.045,-115.967,387.634
-0.344,-0.21,1.34,-185.852,-79.102,382.08
-0.476,-0.14,1.242,-163.635,-40.222,372.009
-0.705,-0.004,1.053,-127.869,-4.517,357.849
-1.03,0.203,0.778,-82.703,24.353,344.91
-1.428,0.46,0.403,-37.415,45.227,341.675
-1.809,0.801,-0.075,-1.77,63.599,349.792
-2.139,1.368,-0.697,24.658,83.252,365.723
-2.341,2.015,-1.335,42.175,101.99,383.728
-2.164,2.431,-1.748,41.626,116.089,391.174
-1.79,2.636,-1.913,16.113,121.399,377.625
-1.391,2.709,-1.929,-23.132,123.047,331.665
-0.972,2.682,-1.855,-61.462,133.301,257.08
-0.696,2.677,-1.764,-86.365,143.372,165.71
-0.466,2.592,-1.65,-95.52,150.757,79.224
-0.27,2.436,-1.532,-86.365,151.367,-5.005
-0.254,2.212,-1.461,-64.819,144.226,-81.543
-0.351,1.972,-1.374,-38.94,134.094,-145.935
-0.511,1.797,-1.274,-17.822,120.911,-194.214
-0.659,1.668,-1.143,-8.972,102.234,-225.464
-0.757,1.593,-0.991,-18.616,73.914,-243.774
-0.852,1.596,-0.842,-41.382,47.241,-258.545
-0.872,1.6,-0.666,-72.998,35.339,-269.104
-0.748,1.595,-0.464,-104.126,33.813,-281.311
-0.639,1.589,-0.348,-127.319,31.616,-297.18
-0.533,1.587,-0.26,-145.691,38.086,-316.406
-0.429,1.568,-0.152,-172.18,53.162,-334.167
-0.315,1.537,-0.033,-193.176,77.82,-352.966
-0.158,1.486,0.074,-209.778,100.159,-370.178
-0.053,1.412,0.159,-223.938,116.699,-375.977
0.075,1.315,0.203,-230.591,129.333,-374.695
0.25,1.228,0.218,-226.379,141.724,-370.3
0.435,1.144,0.193,-213.928,153.442,-370.667
0.544,1.074,0.174,-200.5,171.326,-382.935
0.598,1.001,0.177,-187.012,201.477,-403.931
0.63,0.91,0.146,-171.448,231.384,-424.011
0.641,0.799,0.084,-154.968,248.23,-440.063
0.677,0.678,0.014,-143.066,251.953,-451.294
0.723,0.544,-0.025,-137.756,249.084,-461.792
0.718,0.395,-0.024,-137.207,246.826,-475.586
0.654,0.274,0.019,-134.46,252.014,-490.662
0.522,0.187,0.093,-124.084,260.315,-501.404
0.426,0.076,0.185,-105.713,267.151,-504.7
0.409,-0.122,0.204,-74.402,272.705,-501.648
0.366,-0.24,0.13,-31.921,270.813,-497.375
0.331,-0.302,0.049,8.484,258.423,-495.789
0.252,-0.372,-0.013,40.588,239.685,-492.371
0.152,-0.446,-0.086,64.026,222.595,-484.802
0.036,-0.548,-0.157,77.942,214.966,-468.384
-0.054,-0.688,-0.239,82.642,214.478,-442.322
-0.103,-0.821,-0.299,80.566,218.872,-412.476
-0.154,-0.927,-0.323,73.669,223.755,-382.08
-0.201,-0.993,-0.349,71.533,223.755,-351.379
-0.253,-1.026,-0.384,76.294,216.98,-318.909
-0.294,-1.022,-0.437,85.876,205.75,-281.921
-0.295,-1.014,-0.516,100.525,193.848,-241.577
-0.292,-1.002,-0.641,114.258,186.829,-201.843
-0.281,-1.01,-0.793,120.85,187.256,-164.795
-0.249,-1.009,-0.921,115.906,192.2,-131.531
-0.189,-0.948,-0.996,103.394,195.312,-102.112
-0.125,-0.866,-1.057,91.858,193.97,-79.529
-0.077,-0.791,-1.125,84.351,188.599,-65.796
-0.044,-0.736,-1.214,80.627,179.199,-59.57
-0.029,-0.701,-1.309,77.332,166.077,-55.908
-0.018,-0.685,-1.395,70.74,150.818,-51.453
0,-0.654,-1.452,59.937,132.751,-44.922
0.016,-0.617,-1.482,46.692,112.305,-36.56
0.038,-0.572,-1.484,32.41,91.797,-29.419
0.054,-0.533,-1.464,19.958,74.219,-24.292
0.059,-0.521,-1.443,9.033,59.326,-21.545
0.054,-0.505,-1.42,0.305,47.058,-19.287
0.057,-0.494,-1.383,-8.057,37.048,-15.747
0.064,-0.468,-1.331,-15.991,29.236,-11.597
0.075,-0.446,-1.275,-22.095,23.621,-8.789
0.073,-0.441,-1.229,-26.245,18.555,-6.226
0.074,-0.423,-1.191,-27.893,12.817,-6.958
0.072,-0.407,-1.15,-28.809,6.775,-5.798
0.074,-0.385,-1.106,-28.625,0.793,-4.15
0.069,-0.374,-1.076,-26.611,-3.967,-3.54
0.059,-0.363,-1.041,-24.17,-6.592,-3.235
0.049,-0.358,-1.016,-21.606,-7.874,-2.93
0.037,-0.351,-1,-19.409,-8.118,-2.502
0.02,-0.342,-0.987,-18.25,-7.202,-2.075
0.005,-0.337,-0.967,-18.799,-6.104,0.732
-0.001,-0.319,-0.933,-18.616,-5.066,4.456
0.001,-0.302,-0.903,-16.663,-4.517,6.897
0.003,-0.3,-0.898,-12.512,-5.005,8.057
0.001,-0.308,-0.907,-8.545,-5.432,8.667
0.004,-0.308,-0.913,-6.348,-5.371,9.094
0.009,-0.303,-0.908,-6.653,-5.005,10.193
0.013,-0.296,-0.904,-5.554,-4.7,11.719
0.015,-0.293,-0.908,-4.639,-3.54,12.939
0.022,-0.274,-0.912,-3.235,-2.502,13.672
0.022,-0.261,-0.926,-1.221,0.305,12.512
0.024,-0.265,-0.946,0.549,3.967,10.132
-0.509,-0.505,1.464,-180.725,-133.85,364.319
-0.572,-0.334,1.365,-161.743,-113.281,374.573
-0.645,-0.162,1.181,-127.441,-103.271,379.028
-0.747,0.001,0.947,-86.792,-104.004,377.686
-0.921,0.186,0.656,-41.687,-112.61,372.192
-1.2,0.366,0.231,-1.648,-118.958,368.042
-1.504,0.559,-0.219,23.071,-108.154,374.817
-1.741,0.841,-0.622,30.273,-79.224,394.592
-1.911,1.307,-1.012,29.297,-51.453,419.189
-2.081,1.858,-1.423,30.457,-48.035,443.604
-2.074,2.273,-1.703,34.729,-59.753,462.097
-2.007,2.644,-1.796,15.503,-73.303,468.872
-1.791,2.976,-1.662,-31.677,-74.402,452.209
-1.469,3.198,-1.427,-82.458,-53.345,406.494
-1.129,3.369,-1.124,-118.408,-17.151,331.055
-0.68,3.275,-0.829,-145.02,22.827,251.282
-0.348,3.059,-0.597,-154.785,60.303,170.227
-0.023,2.701,-0.442,-128.357,83.74,82.581
0.077,2.314,-0.508,-82.275,83.13,0.244
-0.08,1.974,-0.654,-31.921,69.824,-76.538
-0.335,1.667,-0.766,6.958,62.012,-145.02
-0.664,1.406,-0.839,25.94,63.965,-198.425
-0.983,1.242,-0.829,21.912,69.031,-239.929
-1.197,1.161,-0.742,0.793,73.547,-267.761
-1.26,1.099,-0.559,-28.931,73.303,-275.818
-1.193,1.063,-0.36,-53.284,67.505,-269.714
-1.062,1.063,-0.18,-65.552,57.617,-260.559
-0.909,1.066,-0.04,-69.946,49.133,-256.592
-0.779,1.104,0.061,-69.214,49.255,-261.597
-0.678,1.145,0.127,-66.956,59.082,-272.278
-0.591,1.179,0.178,-62.683,74.158,-285.217
-0.496,1.206,0.197,-57.251,86.365,-299.011
-0.419,1.216,0.203,-53.65,90.881,-310.486
-0.402,1.242,0.222,-54.199,91.919,-319.702
-0.361,1.245,0.271,-60.608,96.985,-324.219
-0.255,1.205,0.322,-68.665,106.506,-319.092
-0.111,1.154,0.354,-75.012,113.953,-308.899
0.059,1.115,0.36,-77.026,118.347,-302.673
0.242,1.09,0.34,-75.134,125.061,-306.091
0.347,1.077,0.316,-75.562,140.869,-320.435
0.417,1.049,0.299,-81.482,170.41,-343.079
0.475,1.014,0.295,-89.294,205.994,-366.638
0.505,0.946,0.286,-99.182,236.389,-388
0.479,0.841,0.261,-108.032,258.911,-406.738
0.468,0.741,0.249,-115.54,276.428,-420.715
0.457,0.612,0.239,-120.728,290.222,-427.002
0.48,0.495,0.224,-119.995,300.781,-427.856
0.515,0.404,0.195,-109.436,308.716,-430.603
0.573,0.307,0.141,-94.666,312.744,-439.148
0.641,0.259,0.086,-79.651,313.843,-455.322
0.64,0.251,0.036,-63.66,316.101,-480.835
0.6,0.25,-0.001,-52.734,321.838,-508.667
0.526,0.269,-0.009,-49.744,330.994,-528.137
0.47,0.262,0.006,-53.833,344.543,-538.147
0.385,0.132,0.005,-57.434,360.84,-540.1
0.235,-0.01,0.008,-55.786,369.995,-531.372
0.152,-0.152,0,-46.082,365.601,-511.597
0.097,-0.269,-0.052,-25.085,350.586,-483.826
0.076,-0.342,-0.139,-0.427,331.36,-457.52
0.032,-0.405,-0.224,17.395,314.514,-437.073
-0.011,-0.453,-0.264,24.841,304.443,-419.617
-0.101,-0.533,-0.263,24.231,296.021,-400.085
-0.173,-0.667,-0.254,24.353,280.823,-372.986
-0.236,-0.82,-0.284,33.081,256.348,-339.05
-0.268,-0.936,-0.346,46.021,225.342,-302.429
-0.283,-1.011,-0.415,56.152,194.519,-266.907
-0.286,-1.058,-0.47,60.059,169.678,-232.91
-0.276,-1.081,-0.507,60.303,155.273,-200.745
-0.257,-1.083,-0.53,60.425,151.978,-171.631
-0.247,-1.086,-0.577,64.148,154.602,-147.4
-0.253,-1.113,-0.66,69.824,156.494,-126.16
-0.261,-1.12,-0.745,75.806,156.738,-104.248
-0.275,-1.084,-0.856,84.351,155.151,-83.252
-0.268,-1.042,-0.973,90.515,149.841,-62.012
-0.238,-0.988,-1.079,91.797,142.029,-38.818
-0.192,-0.921,-1.171,92.163,133.179,-17.517
-0.126,-0.847,-1.256,91.797,122.742,-0.427
-0.072,-0.774,-1.341,89.905,110.413,13.245
-0.02,-0.7,-1.422,85.999,97.595,23.865
0.03,-0.636,-1.485,79.346,84.839,33.02
0.08,-0.574,-1.527,69.946,71.655,38.94
0.122,-0.512,-1.554,61.218,57.434,41.992
0.161,-0.445,-1.554,50.842,42.847,43.091
0.177,-0.384,-1.544,41.443,29.968,39.673
0.169,-0.345,-1.524,32.349,18.127,33.447
