aX,aY,aZ,gX,gY,gZ
0.425,0.802,0.299,-130.31,190.979,-307.251
0.464,0.708,0.315,-144.043,216.919,-318.298
0.497,0.615,0.34,-151.428,237.732,-324.341
0.547,0.523,0.334,-149.902,250.977,-327.393
0.592,0.428,0.309,-144.043,259.338,-328.735
0.659,0.365,0.277,-135.254,266.846,-330.933
0.744,0.311,0.227,-124.451,274.658,-336.06
0.807,0.276,0.126,-115.417,283.997,-345.825
0.846,0.26,0.051,-112.732,297.424,-362.366
0.893,0.232,0.039,-118.713,317.566,-383.606
0.871,0.21,0.045,-123.596,338.928,-407.288
0.779,0.211,0.072,-123.291,360.168,-431.091
0.683,0.154,0.068,-114.868,375.122,-446.411
0.61,0.056,0.021,-100.464,378.845,-448.792
0.532,-0.051,-0.07,-83.13,377.014,-443.176
0.474,-0.13,-0.162,-65.552,373.169,-431.58
0.422,-0.202,-0.242,-49.255,370.789,-415.039
0.38,-0.252,-0.304,-35.828,372.559,-393.127
0.352,-0.33,-0.381,-24.414,374.207,-367.92
0.341,-0.408,-0.466,-15.503,374.207,-341.064
0.323,-0.473,-0.551,-10.01,371.582,-314.209
0.298,-0.503,-0.61,-8.789,367.798,-290.344
0.265,-0.516,-0.64,-8.972,362.305,-271.667
0.208,-0.526,-0.671,-7.812,350.22,-257.446
0.132,-0.563,-0.694,-3.967,330.322,-245.605
0.053,-0.625,-0.74,4.395,299.255,-233.948
-0.016,-0.7,-0.808,16.174,257.202,-219.482
-0.067,-0.759,-0.883,26.672,208.435,-199.646
-0.085,-0.786,-0.948,31.677,160.767,-174.011
-0.065,-0.768,-0.978,28.259,124.268,-147.034
-0.035,-0.72,-0.963,18.982,103.882,-122.986
-0.015,-0.685,-0.927,10.62,98.145,-105.103
-0.01,-0.671,-0.903,6.775,101.501,-92.346
-0.015,-0.663,-0.907,8.118,106.079,-80.2
-0.016,-0.664,-0.948,13.184,109.009,-67.505
-0.002,-0.67,-1.001,16.663,109.131,-53.528
0.029,-0.658,-1.048,17.7,106.262,-39.795
0.058,-0.622,-1.084,18.25,101.44,-29.358
0.077,-0.588,-1.112,17.944,94.116,-23.56
0.1,-0.573,-1.139,17.029,83.13,-21.057
0.106,-0.548,-1.165,16.724,68.909,-20.325
0.114,-0.534,-1.188,16.357,54.932,-18.433
0.123,-0.512,-1.201,14.099,43.518,-17.456
0.134,-0.495,-1.193,11.23,34.607,-13.977
0.144,-0.471,-1.178,8.606,26.672,-8.85
0.147,-0.448,-1.171,7.69,20.386,-4.883
0.15,-0.427,-1.161,6.897,16.296,-1.953
0.147,-0.404,-1.154,5.188,14.343,1.038
0.141,-0.37,-1.135,3.662,13.733,1.953
0.131,-0.35,-1.115,1.831,13.428,0.61
0.108,-0.339,-1.104,1.465,12.024,-2.686
0.08,-0.33,-1.093,2.441,9.033,-5.615
0.044,-0.324,-1.087,2.808,4.578,-7.812
0.01,-0.316,-1.08,2.869,0.061,-8.911
-0.021,-0.309,-1.072,1.77,-3.479,-8.423
-0.039,-0.3,-1.059,0.122,-6.287,-7.019
-0.053,-0.289,-1.039,-2.502,-7.874,-5.676
-0.068,-0.284,-1.023,-3.601,-8.179,-5.615
-0.083,-0.295,-1.015,-3.662,-7.751,-5.066
-0.094,-0.302,-1.012,-4.7,-7.935,-3.418
-0.089,-0.288,-0.999,-5.676,-8.24,-0.549
-0.083,-0.279,-0.984,-7.019,-6.226,1.77
-0.077,-0.281,-0.972,-7.446,-3.54,2.625
-0.08,-0.285,-0.972,-6.958,-0.732,3.174
-0.077,-0.286,-0.978,-5.737,2.014,4.089
-0.068,-0.285,-0.979,-5.005,5.188,5.859
-0.059,-0.281,-0.983,-4.089,7.202,7.507
-0.048,-0.278,-0.988,-3.235,8.24,8.728
-0.036,-0.279,-0.992,-2.197,8.667,9.46
-0.028,-0.278,-0.998,-1.16,8.484,9.46
-0.019,-0.266,-0.999,-0.671,8.118,8.667
-0.012,-0.266,-1.005,0.183,7.751,7.385
-0.008,-0.278,-1.012,-0.305,7.69,6.287
-0.003,-0.283,-1.019,-0.183,7.69,5.31
0.002,-0.275,-1.017,-0.61,7.69,5.249
0.013,-0.263,-1.012,-1.038,8.24,4.822
0.021,-0.265,-1.015,-0.305,8.179,3.052
0.022,-0.276,-1.025,0.244,7.08,1.404
0.021,-0.285,-1.035,-0.183,5.249,0.305
0.023,-0.289,-1.035,-1.526,3.967,-0.122
0.023,-0.282,-1.024,-3.479,3.174,-0.916
0.021,-0.275,-1.016,-3.845,2.441,-1.953
0.02,-0.267,-1.01,-3.479,1.831,-3.296
0.014,-0.269,-1.007,-2.563,1.709,-4.639
-1.521,1.259,-0.51,31.372,-78.979,335.266
-1.566,1.479,-0.598,19.043,-86.914,334.9
-1.562,1.706,-0.63,-2.747,-88.074,328.064
-1.48,1.931,-0.577,-32.227,-79.59,310.852
-1.299,2.085,-0.454,-62.805,-62.866,284.485
-1.061,2.183,-0.3,-89.111,-38.513,248.779
-0.796,2.177,-0.164,-110.107,-12.451,200.745
-0.488,2.033,-0.02,-125.977,12.939,147.522
-0.243,1.819,0.053,-121.704,39.185,93.994
-0.145,1.641,0.03,-98.511,57.251,36.743
-0.226,1.537,-0.05,-69.458,62.927,-17.578
-0.381,1.448,-0.129,-44.739,58.655,-64.88
-0.585,1.387,-0.163,-28.748,50.903,-103.699
-0.75,1.316,-0.136,-22.827,44.189,-133.484
-0.867,1.244,-0.071,-26.611,37.537,-155.64
-0.935,1.202,0.011,-32.654,33.203,-171.448
-0.933,1.181,0.09,-35.645,30.701,-181.519
-0.884,1.167,0.161,-36.987,28.87,-188.538
-0.832,1.16,0.211,-37.292,28.687,-196.106
-0.772,1.149,0.234,-36.499,35.339,-204.285
-0.709,1.144,0.247,-35.156,48.523,-212.891
-0.639,1.134,0.259,-32.471,60.547,-221.863
-0.583,1.094,0.179,-26.184,64.148,-229.736
-0.572,1.126,0.104,-23.315,67.261,-234.375
-0.514,1.091,0.028,-27.283,62.5,-235.229
-0.479,1.083,-0.026,-34.302,61.584,-244.751
-0.426,1.076,-0.041,-51.147,66.895,-252.502
-0.359,1.075,-0.016,-77.942,75.012,-255.859
-0.297,1.055,0.042,-109.07,81.36,-255.737
-0.207,1.059,0.095,-136.169,87.097,-252.808
-0.075,1.049,0.123,-155.212,89.417,-248.474
0.043,1.031,0.13,-170.349,91.858,-247.681
0.127,1.014,0.144,-181.885,101.318,-256.165
0.147,0.995,0.143,-191.956,119.08,-267.273
0.163,0.954,0.15,-198.669,138.733,-272.888
0.193,0.894,0.161,-199.951,153.625,-271.301
0.239,0.825,0.16,-194.946,161.926,-264.099
0.318,0.77,0.147,-187.683,163.818,-253.479
0.392,0.713,0.149,-179.077,164.001,-243.164
0.463,0.667,0.129,-165.466,162.231,-235.291
0.52,0.623,0.06,-147.583,156.738,-230.53
0.594,0.581,-0.011,-133.911,152.161,-229.614
0.639,0.533,-0.105,-126.038,148.499,-232.3
0.684,0.495,-0.196,-125.183,145.874,-238.281
0.703,0.459,-0.229,-133.362,148.315,-245.422
0.715,0.426,-0.208,-146.057,154.358,-252.258
0.728,0.392,-0.139,-155.273,165.222,-258.85
0.724,0.357,-0.083,-154.968,179.81,-264.16
0.75,0.329,-0.089,-143.25,195.984,-268.311
0.794,0.298,-0.113,-127.686,211.792,-273.743
0.823,0.238,-0.173,-113.831,221.008,-282.227
0.791,0.179,-0.254,-103.027,226.562,-294.312
0.743,0.146,-0.324,-97.107,230.469,-304.687
0.679,0.127,-0.367,-95.032,230.103,-306.824
0.645,0.11,-0.38,-97.961,230.774,-303.589
0.647,0.077,-0.36,-100.708,234.619,-300.415
0.612,0.029,-0.351,-99.243,239.502,-301.636
0.552,-0.027,-0.367,-89.478,244.812,-306.58
0.504,-0.073,-0.388,-78.247,245.972,-307.678
0.469,-0.132,-0.408,-65.247,243.652,-303.65
0.429,-0.194,-0.465,-51.392,240.784,-296.692
0.397,-0.223,-0.496,-42.664,237.244,-285.583
0.357,-0.267,-0.555,-33.569,235.535,-273.132
0.32,-0.31,-0.608,-27.039,231.323,-259.521
0.287,-0.351,-0.65,-22.339,224.365,-246.094
0.255,-0.404,-0.698,-17.09,213.44,-234.741
0.219,-0.449,-0.749,-13.184,198.669,-224.976
0.194,-0.484,-0.788,-10.254,181.03,-213.684
0.187,-0.517,-0.815,-10.193,162.292,-200.195
0.172,-0.524,-0.841,-10.986,145.813,-186.035
0.169,-0.532,-0.862,-11.23,134.155,-173.096
0.157,-0.543,-0.872,-13.428,128.418,-161.133
0.147,-0.555,-0.88,-14.587,126.038,-150.94
0.137,-0.561,-0.896,-12.451,124.451,-142.517
0.125,-0.566,-0.908,-9.399,123.535,-135.01
0.119,-0.582,-0.925,-6.47,121.033,-127.808
0.105,-0.61,-0.955,-2.563,116.211,-120.3
0.097,-0.634,-1,2.197,110.046,-111.572
0.091,-0.65,-1.045,5.737,103.882,-101.135
0.098,-0.638,-1.079,6.897,97.717,-88.745
0.108,-0.609,-1.105,5.737,91.614,-76.782
0.127,-0.577,-1.114,3.845,86.792,-67.688
0.141,-0.556,-1.122,3.357,81.055,-61.829
0.137,-0.535,-1.138,5.737,74.341,-59.448
0.119,-0.53,-1.164,8.301,67.505,-57.983
0.096,-0.532,-1.196,9.155,59.692,-55.054
0.08,-0.532,-1.211,7.141,52.246,-50.354
0.075,-0.524,-1.209,3.906,44.617,-44.189
0.07,-0.5,-1.189,0.854,37.537,-38.513
0.066,-0.482,-1.168,-1.831,30.334,-33.386
0.064,-0.472,-1.144,-3.967,23.315,-28.748
0.072,-0.45,-1.11,-5.066,15.93,-25.513
0.075,-0.432,-1.075,-5.188,8.911,-24.17
0.069,-0.419,-1.048,-4.272,3.784,-24.536
0.048,-0.417,-1.03,-3.357,-0.183,-26.123
0.026,-0.414,-1.018,-2.502,-2.075,-25.818
0.018,-0.411,-1.004,-2.441,-3.662,-23.804
0.008,-0.398,-0.996,-2.319,-4.822,-21.179
-0.005,-0.388,-0.988,-2.563,-4.7,-18.677
-0.023,-0.384,-0.982,-3.967,-3.479,-16.235
-0.041,-0.379,-0.974,-5.432,-2.869,-13.977
-0.057,-0.367,-0.966,-6.348,-2.441,-11.78
-0.068,-0.357,-0.957,-6.226,-2.686,-9.583
-0.078,-0.346,-0.951,-4.333,-3.052,-8.118
-0.09,-0.343,-0.956,-2.441,-2.563,-7.141
-0.101,-0.349,-0.964,-0.732,-1.465,-6.409
-0.11,-0.348,-0.969,0.244,0.244,-5.005
-0.104,-0.338,-0.967,0.366,2.441,-3.418
-0.096,-0.338,-0.969,0.732,4.578,-1.587
-0.093,-0.341,-0.977,1.709,6.47,0.061
-0.087,-0.342,-0.986,2.075,8.057,1.77
-0.075,-0.332,-0.984,1.892,8.667,3.906
-0.061,-0.324,-0.982,1.892,8.789,5.066
-0.053,-0.32,-0.984,2.441,8.667,5.127
-0.055,-0.324,-0.996,2.93,8.606,4.578
-0.054,-0.326,-1.006,2.991,8.728,4.7
-0.049,-0.325,-1.015,2.502,8.545,5.493
-0.045,-0.317,-1.021,1.648,8.728,6.165
-0.038,-0.313,-1.019,0.488,8.301,6.104
-1.485,1.261,-0.306,-190.43,-57.312,237.427
-1.663,1.516,-0.214,-150.269,-33.081,246.521
-1.734,1.781,-0.15,-84.29,-34.363,277.283
-1.675,2.002,-0.192,-5.371,-65.491,322.51
-1.513,2.185,-0.293,59.509,-112.061,363.159
-1.253,2.353,-0.381,95.764,-143.005,384.766
-0.913,2.44,-0.396,100.83,-143.066,378.601
-0.62,2.498,-0.361,75.317,-122.192,337.83
-0.344,2.413,-0.282,28.992,-83.069,269.226
-0.136,2.265,-0.196,-16.968,-27.832,173.523
-0.03,2.091,-0.122,-52.734,29.48,62.195
-0.102,1.929,-0.109,-74.341,75.684,-41.504
-0.288,1.74,-0.1,-82.764,104.919,-126.526
-0.55,1.58,-0.074,-76.538,121.155,-187.622
-0.786,1.424,-0.033,-57.129,126.709,-220.398
-0.952,1.247,0.014,-31.799,117.859,-222.656
-1.043,1.117,0.046,-2.441,93.811,-205.2
-1.054,1.053,0.062,27.649,65.796,-180.664
-1.012,1.03,0.069,53.833,43.091,-156.311
-0.919,1.039,0.077,70.129,28.931,-138.977
-0.811,1.057,0.1,75.195,23.499,-132.812
-0.691,1.072,0.13,72.021,25.818,-139.526
-0.658,1.069,0.161,64.27,32.532,-157.227
-0.623,1.139,0.202,52.307,54.871,-183.35
-0.668,1.143,0.233,33.997,92.407,-205.811
-0.679,1.144,0.245,17.456,128.845,-231.384
-0.657,1.141,0.255,3.418,159.973,-250.977
-0.636,1.131,0.275,-9.521,176.392,-260.254
-0.6,1.104,0.29,-20.752,175.781,-261.597
-0.51,1.049,0.3,-28.198,167.358,-256.836
-0.39,0.997,0.294,-34.119,156.433,-250.549
-0.261,0.952,0.295,-42.297,147.156,-246.582
-0.143,0.916,0.289,-52.124,145.142,-246.521
-0.069,0.899,0.287,-62.439,150.269,-251.526
-0.001,0.875,0.272,-72.266,158.142,-258.057
0.046,0.867,0.253,-81.543,166.016,-263.489
0.075,0.836,0.226,-92.59,171.204,-267.822
0.105,0.78,0.235,-107.056,174.377,-267.273
0.133,0.742,0.259,-119.385,176.27,-261.353
0.195,0.7,0.293,-125.671,173.34,-251.16
0.291,0.663,0.33,-127.075,164.856,-239.563
0.413,0.619,0.332,-123.596,156.982,-230.774
0.503,0.586,0.324,-119.263,155.518,-228.333
0.567,0.569,0.312,-114.38,162.842,-232.727
0.619,0.553,0.279,-108.521,172.485,-240.417
0.655,0.541,0.237,-104.492,181.824,-249.573
0.647,0.526,0.177,-101.624,192.566,-259.644
0.638,0.504,0.104,-102.417,203.674,-267.273
0.66,0.467,0.028,-107.91,210.205,-270.081
0.715,0.43,-0.017,-117.31,213.257,-270.203
0.795,0.384,-0.026,-128.906,218.262,-272.766
0.86,0.332,-0.014,-139.343,227.539,-281.372
0.875,0.308,0,-143.005,242.493,-296.082
0.901,0.289,0.03,-141.907,261.475,-311.89
0.937,0.243,0.045,-137.024,277.832,-325.745
0.943,0.204,0.022,-127.014,290.466,-341.125
0.911,0.177,-0.042,-114.807,299.255,-358.521
0.854,0.152,-0.092,-108.337,304.993,-372.131
0.782,0.113,-0.141,-108.337,310.486,-379.7
0.73,0.063,-0.156,-113.831,317.444,-382.568
0.678,-0.032,-0.127,-120.483,325.195,-383.972
0.604,-0.151,-0.098,-121.216,329.59,-383.362
0.512,-0.235,-0.078,-112.305,329.285,-378.296
0.436,-0.32,-0.075,-95.337,322.876,-367.126
0.39,-0.388,-0.1,-72.998,309.387,-349.243
0.365,-0.451,-0.155,-45.654,293.091,-330.872
0.333,-0.517,-0.24,-18.616,278.503,-315.43
0.295,-0.568,-0.333,2.991,264.343,-301.514
0.26,-0.62,-0.427,18.86,251.343,-287.781
0.229,-0.662,-0.501,26.306,237.915,-274.17
0.192,-0.692,-0.555,29.236,223.328,-259.277
0.159,-0.709,-0.601,30.273,208.618,-244.629
0.116,-0.745,-0.65,31.921,192.81,-228.76
0.102,-0.77,-0.697,37.048,175.903,-210.876
0.079,-0.786,-0.761,44.922,160.217,-192.81
0.055,-0.79,-0.827,50.659,146.851,-174.805
0.041,-0.788,-0.889,53.467,135.437,-155.579
0.021,-0.779,-0.953,54.932,126.831,-137.695
-0.013,-0.764,-1.017,54.321,120.117,-121.46
-0.019,-0.753,-1.069,51.208,113.586,-104.736
-0.013,-0.727,-1.108,45.532,105.53,-87.463
0.005,-0.695,-1.132,39.795,95.642,-72.937
0.022,-0.661,-1.139,34.668,83.923,-62.134
0.046,-0.652,-1.144,30.09,71.228,-54.871
0.047,-0.624,-1.15,27.832,56.885,-51.331
0.044,-0.61,-1.152,27.039,42.297,-45.959
0.052,-0.602,-1.152,25.269,30.762,-38.513
0.063,-0.572,-1.146,23.132,22.522,-30.64
0.087,-0.537,-1.125,20.142,17.944,-23.193
0.099,-0.512,-1.105,17.7,16.296,-19.47
0.093,-0.503,-1.099,15.93,15.991,-18.005
0.082,-0.494,-1.099,13.733,15.808,-16.785
0.07,-0.48,-1.092,10.437,14.709,-14.282
0.055,-0.47,-1.079,6.592,12.207,-10.742
0.039,-0.464,-1.068,3.296,8.301,-6.714
0.032,-0.44,-1.051,0.488,3.784,-3.479
0.031,-0.421,-1.029,-2.136,0,-1.953
0.029,-0.403,-1.003,-3.601,-2.258,-2.502
0.021,-0.4,-0.985,-3.601,-4.578,-4.211
0.01,-0.404,-0.976,-2.93,-7.202,-5.676
0,-0.405,-0.976,-2.319,-9.094,-5.859
0.001,-0.396,-0.967,-2.991,-9.094,-4.456
0.003,-0.391,-0.944,-4.761,-7.568,-3.54
0.001,-0.386,-0.929,-5.493,-5.432,-3.54
-0.007,-0.383,-0.923,-5.249,-3.662,-3.479
-0.012,-0.375,-0.922,-4.333,-1.465,-2.991
-0.02,-0.368,-0.924,-2.686,1.831,-2.502
-0.027,-0.367,-0.927,-1.221,5.92,-2.197
-0.033,-0.372,-0.933,0,9.155,-1.282
-0.038,-0.368,-0.945,1.282,10.803,-0.549
-0.035,-0.363,-0.954,2.136,11.658,0.427
-0.029,-0.359,-0.958,2.319,11.963,0.977
-0.028,-0.366,-0.965,2.441,11.78,0.671
-0.03,-0.37,-0.97,2.197,11.169,0.977
-0.029,-0.361,-0.975,1.648,10.132,1.587
-0.02,-0.354,-0.972,1.282,10.132,2.136
-0.009,-0.351,-0.969,1.099,10.681,2.441
-0.006,-0.356,-0.972,2.014,10.254,2.075
-0.005,-0.358,-0.984,3.357,9.155,1.648
-0.765,1.289,0.636,-119.141,-179.138,196.045
-0.797,1.369,0.599,-88.196,-157.104,177.063
-0.839,1.476,0.522,-58.044,-137.756,155.273
-0.877,1.596,0.41,-31.311,-115.662,137.085
-0.872,1.707,0.245,-6.287,-91.187,130.127
-0.792,1.735,0.069,7.385,-71.716,132.446
-0.68,1.754,-0.099,8.606,-51.636,134.949
-0.533,1.79,-0.18,-3.784,-26.794,125.427
-0.354,1.792,-0.254,-34.668,1.038,112.61
-0.166,1.745,-0.239,-56.885,45.898,98.022
0.033,1.688,-0.221,-80.566,82.825,74.28
0.185,1.6,-0.214,-93.445,107.361,45.349
0.297,1.519,-0.221,-97.9,121.399,9.46
0.304,1.463,-0.245,-91.675,128.723,-28.076
0.261,1.457,-0.258,-80.078,129.456,-61.707
0.211,1.462,-0.238,-65.186,123.291,-84.167
0.172,1.475,-0.182,-50.11,108.398,-93.201
0.139,1.489,-0.089,-36.133,88.745,-91.064
0.114,1.501,0.012,-21.606,68.787,-84.656
0.105,1.492,0.102,-7.324,51.453,-78.003
0.09,1.476,0.154,6.653,39.795,-73.73
0.08,1.459,0.185,19.836,34.79,-75.623
0.068,1.433,0.203,30.029,33.936,-83.923
0.019,1.42,0.211,35.645,35.095,-99.365
-0.033,1.421,0.194,39.246,42.297,-115.906
-0.06,1.419,0.176,44.861,54.871,-127.319
-0.058,1.444,0.178,51.575,63.721,-138.428
-0.064,1.473,0.189,57.495,67.993,-151.917
-0.081,1.479,0.189,62.012,74.402,-165.894
-0.069,1.465,0.185,63.599,86.67,-179.565
-0.066,1.441,0.17,62.439,104.492,-194.397
-0.077,1.402,0.143,55.847,122.437,-212.952
-0.099,1.31,0.131,39.917,143.86,-229.248
-0.085,1.232,0.137,20.569,171.509,-243.591
-0.043,1.158,0.142,-0.122,200.5,-254.761
-0.013,1.103,0.16,-23.804,224.67,-265.32
0.022,1.037,0.187,-48.462,241.821,-273.499
0.093,0.967,0.201,-68.359,252.808,-277.588
0.14,0.925,0.199,-82.336,261.841,-280.701
0.183,0.894,0.204,-94.299,270.386,-285.095
0.214,0.818,0.194,-106.689,279.236,-288.33
0.244,0.759,0.161,-119.202,289.246,-288.208
0.291,0.694,0.137,-132.507,299.683,-285.645
0.336,0.636,0.12,-148.926,312.439,-282.349
0.36,0.586,0.128,-164.795,329.102,-279.175
0.415,0.521,0.155,-177.551,344.055,-273.132
0.462,0.427,0.146,-182.495,350.769,-264.587
0.507,0.346,0.118,-180.176,348.755,-257.446
0.534,0.279,0.064,-173.889,342.468,-251.404
0.556,0.252,0.029,-168.762,338.562,-245.911
0.577,0.199,0.004,-165.71,339.966,-241.089
0.586,0.113,-0.038,-162.17,341.614,-235.962
0.628,0.088,-0.063,-156.86,340.637,-230.591
0.655,0.052,-0.103,-147.888,337.158,-229.919
0.66,-0.017,-0.149,-139.282,334.106,-235.657
0.62,-0.078,-0.183,-130.615,333.801,-242.737
0.588,-0.133,-0.214,-119.629,330.688,-244.934
0.533,-0.188,-0.258,-105.957,324.646,-241.943
0.504,-0.256,-0.291,-90.942,318.42,-235.535
0.462,-0.324,-0.342,-74.585,310.547,-225.83
0.456,-0.366,-0.401,-56.274,302.368,-214.294
0.444,-0.405,-0.485,-36.743,294.495,-202.637
0.443,-0.464,-0.578,-22.217,285.889,-193.42
0.436,-0.5,-0.671,-11.719,278.687,-185.73
0.439,-0.493,-0.741,-3.845,272.217,-180.603
0.434,-0.49,-0.802,0.732,263.733,-177.185
0.429,-0.51,-0.852,2.441,250.305,-176.697
0.39,-0.53,-0.905,3.54,230.713,-179.504
0.339,-0.568,-0.959,2.991,205.627,-182.617
0.275,-0.619,-1.008,-1.282,175.476,-181.58
0.238,-0.679,-1.043,-6.348,144.836,-174.683
0.238,-0.698,-1.04,-12.634,118.53,-161.316
0.258,-0.685,-1.019,-18.555,97.656,-146.24
0.29,-0.684,-0.991,-22.339,83.374,-132.08
0.306,-0.688,-0.972,-24.17,77.759,-121.643
0.317,-0.682,-0.957,-23.926,77.759,-113.403
0.33,-0.681,-0.944,-23.01,79.102,-105.469
0.345,-0.656,-0.933,-20.508,80.261,-99.304
0.349,-0.64,-0.928,-16.479,80.444,-96.924
0.325,-0.649,-0.944,-11.841,78.491,-97.656
0.286,-0.67,-0.972,-9.033,72.327,-98.45
0.231,-0.685,-1.007,-8.484,62.073,-96.802
0.191,-0.695,-1.026,-11.047,51.575,-91.98
0.153,-0.671,-1.02,-14.465,43.579,-85.083
0.11,-0.657,-1.01,-16.541,36.987,-78.064
0.068,-0.629,-1.004,-15.869,30.884,-73.303
0.03,-0.628,-1.005,-12.207,25.818,-66.04
0.001,-0.621,-1.01,-8.057,22.217,-59.143
-0.026,-0.611,-1.016,-4.822,19.287,-51.819
-0.042,-0.609,-1.023,-2.869,16.541,-43.884
-0.043,-0.595,-1.024,-2.38,14.343,-35.583
-0.042,-0.585,-1.019,-2.93,12.512,-27.466
-0.034,-0.573,-1.01,-3.723,9.46,-19.287
-0.018,-0.545,-0.999,-3.967,4.822,-11.353
0,-0.502,-0.979,-3.906,0.793,-5.798
0.02,-0.48,-0.955,-3.235,-1.404,-4.028
0.029,-0.47,-0.944,-1.099,-2.747,-4.883
0.03,-0.465,-0.948,1.587,-4.517,-6.47
0.024,-0.453,-0.963,3.235,-5.127,-6.897
0.024,-0.443,-0.969,3.479,-4.089,-6.287
0.027,-0.444,-0.967,2.258,-2.441,-5.188
0.024,-0.436,-0.968,1.221,-1.465,-4.456
0.019,-0.424,-0.971,-0.183,-1.587,-3.113
0.028,-0.398,-0.959,-2.014,-1.099,-2.197
0.031,-0.384,-0.941,-2.441,0.488,-2.258
0.024,-0.383,-0.935,-0.916,1.77,-4.028
0.006,-0.385,-0.949,1.404,1.892,-5.92
-0.009,-0.384,-0.965,2.563,2.075,-7.141
-0.019,-0.377,-0.97,2.197,2.93,-7.08
-0.027,-0.371,-0.969,0.793,5.31,-6.409
-0.033,-0.379,-0.969,-0.549,7.263,-5.676
-0.036,-0.386,-0.973,-1.038,8.179,-4.517
-0.04,-0.384,-0.979,-1.709,8.057,-3.357
-0.032,-0.365,-0.971,-2.441,8.179,-1.709
-0.02,-0.36,-0.96,-2.197,7.935,-0.854
-0.017,-0.369,-0.96,-1.221,6.836,-1.404
-0.017,-0.38,-0.97,-0.244,5.554,-1.465
-0.016,-0.383,-0.981,-0.244,4.456,-0.732
-0.007,-0.372,-0.978,-1.038,4.517,0.549
-0.915,1.779,-0.009,-96.68,-28.137,155.151
-0.811,1.91,0.005,-100.159,12.207,162.231
-0.699,2.023,0.011,-90.942,44.983,170.654
-0.571,2.123,0.013,-64.392,68.542,176.758
-0.417,2.167,-0.02,-29.846,72.449,177.49
-0.272,2.172,-0.113,1.221,59.814,170.593
-0.135,2.113,-0.243,23.132,46.265,155.579
-0.001,2.012,-0.378,32.898,44.922,131.226
0.092,1.901,-0.499,27.283,56.335,96.252
0.142,1.772,-0.575,12.268,78.918,53.284
0.119,1.67,-0.612,-7.385,103.21,6.531
0.062,1.561,-0.597,-22.522,123.047,-35.889
-0.056,1.516,-0.531,-33.752,125.793,-73.12
-0.201,1.542,-0.433,-39.917,108.276,-97.778
-0.344,1.523,-0.293,-36.438,84.534,-102.539
-0.435,1.453,-0.167,-28.137,58.96,-96.863
-0.479,1.4,-0.065,-18.25,38.208,-88.745
-0.478,1.364,0.011,-6.104,26.184,-81.848
-0.447,1.345,0.061,6.348,18.616,-79.956
-0.407,1.335,0.1,16.235,14.038,-85.693
-0.408,1.313,0.129,19.592,15.015,-95.642
-0.439,1.266,0.13,15.686,24.475,-105.103
-0.439,1.19,0.128,6.104,41.87,-110.229
-0.427,1.094,0.13,-5.188,60.059,-111.145
-0.417,1.011,0.126,-13.55,69.824,-109.619
-0.433,0.974,0.116,-16.724,64.636,-105.164
-0.41,0.962,0.113,-15.625,47.974,-95.947
-0.33,0.978,0.115,-13.855,28.748,-82.764
-0.176,0.994,0.123,-17.944,14.282,-73.364
-0.011,1.009,0.155,-29.968,11.658,-76.294
0.098,1.03,0.188,-46.326,23.987,-94.177
0.177,1.027,0.235,-64.575,47.668,-120.789
0.236,1.016,0.307,-82.703,78.491,-149.414
0.259,0.99,0.345,-95.764,111.267,-176.819
0.256,0.947,0.347,-104.309,141.846,-200.073
0.262,0.904,0.324,-112.976,166.077,-215.515
0.342,0.846,0.288,-123.535,184.448,-222.229
0.451,0.795,0.254,-136.536,200.5,-226.379
0.567,0.763,0.227,-150.879,217.224,-233.765
0.667,0.737,0.205,-163.269,235.596,-247.009
0.762,0.715,0.188,-174.622,258.301,-264.526
0.831,0.681,0.175,-182.861,285.156,-284.424
0.886,0.634,0.133,-186.89,310.608,-305.969
0.939,0.561,0.058,-187.744,330.933,-326.66
0.969,0.485,-0.029,-188.171,346.008,-347.046
0.965,0.431,-0.118,-189.575,354.431,-369.019
0.932,0.408,-0.179,-194.397,360.779,-389.16
0.895,0.397,-0.208,-200.012,370.239,-407.532
0.847,0.377,-0.212,-203.369,385.803,-423.523
0.757,0.34,-0.21,-204.712,403.625,-434.814
0.639,0.293,-0.215,-204.895,419.373,-440.125
0.563,0.193,-0.199,-198.364,428.04,-436.646
0.476,0.051,-0.201,-186.707,429.016,-425.537
0.386,-0.082,-0.222,-166.87,419.067,-413.33
0.295,-0.208,-0.27,-140.442,399.78,-399.963
0.223,-0.304,-0.341,-112.366,371.704,-382.69
0.161,-0.383,-0.424,-83.13,339.905,-361.145
0.112,-0.425,-0.513,-54.688,309.082,-337.891
0.082,-0.461,-0.606,-31.982,282.776,-313.232
0.073,-0.5,-0.679,-18.799,259.766,-288.818
0.043,-0.579,-0.74,-15.198,237.488,-266.113
0.023,-0.678,-0.769,-17.578,212.097,-245.239
0.001,-0.764,-0.781,-19.775,181.641,-226.257
-0.039,-0.8,-0.798,-16.846,150.574,-207.764
-0.055,-0.803,-0.808,-12.329,126.038,-187.683
-0.065,-0.819,-0.819,-8.484,109.558,-167.114
-0.048,-0.832,-0.831,-5.066,99.976,-146.118
-0.029,-0.827,-0.854,-0.977,95.215,-126.404
-0.006,-0.814,-0.891,2.563,94.849,-108.704
0.025,-0.795,-0.923,5.127,96.619,-92.957
0.06,-0.78,-0.95,6.531,97.351,-78.125
